ID da Conta;Tipo de Conta;Descrição Detalhada;Valor Previsto (R$);Data de Vencimento;Categoria Financeira;Status da Cobrança;Parceiro;Condição de Pgto
CP001;Pagar;Mensalidade de Software ERP;-950;05/11/2025;Despesas Operacionais;Pago;Fornecedor de TI;Boleto
CP002;Pagar;Compra de Matéria-Prima (Pedido 55);-18000;10/11/2025;Fornecedores;Pago;Fornecedor Delta;30 DDL
CR001;Receber;Fatura de Venda Lote 25;9500;15/11/2025;Vendas Futuras;Pago;Cliente Tau;15 DDL
CP003;Pagar;Salários de Novembro (Provisão);-23000;20/11/2025;Folha de Pagamento;Pago;RH - Funcionários;Mensal
CR002;Receber;Pagamento de Serviços Recorrentes;3500;25/11/2025;Serviços Recorrentes;Pago;Empresa Serviços Z;Mensal
CP004;Pagar;Campanha Black Friday (2ª parcela);-4000;30/11/2025;Marketing;Pago;Agência Digital;2x
CR003;Receber;Venda de Produto Especial;1200;05/12/2025;Vendas Futuras;Pago;Cliente Mu;À Vista
CP005;Pagar;Aluguel do Escritório;-3500;07/12/2025;Despesas Operacionais;Atrasado;Imobiliária Central;Mensal
CR004;Receber;Consultoria de Dezembro;7800;10/12/2025;Serviços Recorrentes;Aberto;Empresa Serviços K;30 DDL
CP006;Pagar;Licenças Anuais de Software;-12500;12/12/2025;Despesas Operacionais;Aberto;Fornecedor de TI;Boleto
CR005;Receber;Venda de Lote 26 (Aberto);21000;15/12/2025;Vendas Futuras;Aberto;Cliente Alfa;15 DDL
CP007;Pagar;Impostos Federais (IRPJ/CSLL);-5800;20/12/2025;Impostos;Aberto;Governo;Mensal
CR006;Receber;Pagamento Antecipado (Renda Extra);1500;22/12/2025;Renda Extra;Pago;Parceiro Eventual;PIX
CP008;Pagar;Salários de Dezembro (Provisão);-23000;20/12/2025;Folha de Pagamento;Pago;RH - Funcionários;Mensal
CR007;Receber;Serviço Recorrente Janeiro;3500;25/12/2025;Serviços Recorrentes;Cancelado;Empresa Serviços Z;Mensal
CP009;Pagar;Adiantamento 13º Salário;-15000;05/01/2026;Folha de Pagamento;Pago;RH - Funcionários;Mensal
CR008;Receber;Venda Adicional (Janeiro);11500;10/01/2026;Vendas Futuras;Aberto;Cliente Tau;15 DDL
CP010;Pagar;Energia Elétrica (Dezembro);-890;15/01/2026;Despesas Operacionais;Aberto;Eletropaulo;Mensal
CR009;Receber;Serviço de Manutenção (Janeiro);1800;20/01/2026;Serviços Recorrentes;Atrasado;Cliente Beta;Mensal
CP011;Pagar;Compra de Equipamento Novo;-7500;25/01/2026;Fornecedores;Aberto;Distribuidora X;30 DDL
CR010;Receber;Aluguel de Espaço (Renda Extra);1500;30/01/2026;Renda Extra;Aberto;Locatário R;Mensal
CR011;Receber;Serviço Recorrente Novembro;3500;25/11/2025;Serviços Recorrentes;Pago;Empresa Serviços Y;Mensal
CP012;Pagar;Consultoria Jurídica;-2500;18/11/2025;Despesas Operacionais;Pago;Escritório de Advocacia;À Vista
CR012;Receber;Venda de Lote 27;15000;20/11/2025;Vendas Futuras;Atrasado;Cliente Gama;15 DDL
CP013;Pagar;Reforma do Escritório (1/3);-10000;01/12/2025;Fornecedores;Aberto;Construtora M;3x
CR013;Receber;Aporte de Capital;25000;05/12/2025;Renda Extra;Pago;Sócio Investidor;À Vista
