ID Transação;Data;Hora;Tipo;Valor (R$);Descrição;Categoria;Conta;Meio de Pgto;Status;Estabelecimento;ID da Conta
T09_001;01/09/2025;09:15:00;Entrada;5.200,00;Venda Lote 1;Vendas;Banco A (Corrente);PIX;Compensado;Cliente Alfa;CP001
T09_002;01/09/2025;14:45:00;Saída;-450;Material de Escritório;Despesas Operacionais;Caixa;Dinheiro;Compensado;Papelaria Central;CP002
T09_003;01/09/2025;17:55:00;Entrada;1.800,00;Prestação de Serviço (Mês Anterior);Prestação de Serviços;Banco A (Corrente);Boleto;Compensado;Empresa Serviços Z;CR001
T09_004;01/09/2025;20:05:00;Entrada;150;Venda Urgente (fora do horário);Vendas;Banco B (Poupança);PIX;Compensado;Cliente Beta;CP003
T09_005;02/09/2025;11:30:00;Saída;-25.000,00;Pagamento Fornecedor Principal;Fornecedores;Banco A (Corrente);TED;Compensado;Fornecedor Delta;CR002
T09_006;02/09/2025;16:20:00;Entrada;3.500,00;Venda Lote 2;Vendas;Banco A (Corrente);Cartão Crédito;Compensado;Cliente Gama;CP004
T09_007;03/09/2025;08:40:00;Saída;-15.000,00;Salários (Adiantamento);Folha de Pagamento;Banco A (Corrente);TED;Compensado;RH - Funcionários;CR003
T09_008;03/09/2025;15:10:00;Entrada;900;Pequena Venda;Vendas;Caixa;Dinheiro;Compensado;Cliente Epsilon;CP005
T09_009;04/09/2025;10:00:00;Saída;-8.000,00;Campanha de Marketing Digital;Marketing;Banco A (Corrente);Boleto;Compensado;Agência Digital;CR004
T09_010;04/09/2025;17:00:00;Entrada;2.200,00;Prestação de Serviço (Novo Projeto);Prestação de Serviços;Banco B (Poupança);PIX;Compensado;Empresa Serviços Y;CP006
T09_011;05/09/2025;10:30:00;Saída;-3.500,00;Aluguel do Escritório;Contas Fixas;Banco A (Corrente);Boleto;Compensado;Locadora Imóveis;CR005
T09_012;05/09/2025;14:00:00;Entrada;800;Renda de Aluguéis (Imóvel 1);Renda de Aluguéis;Banco B (Poupança);TED;Compensado;Inquilino A;CP007
